@relation FloodingsSP-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R2-3

@attribute distance numeric
@attribute mm_1h numeric
@attribute mm_2h numeric
@attribute mm_3h numeric
@attribute mm_4h numeric
@attribute mm_6h numeric
@attribute mm_12h numeric
@attribute mm_24h numeric
@attribute mm_48h numeric
@attribute mm_72h numeric
@attribute mm_96h numeric
@attribute mm_120h numeric
@attribute class {0,1}

@data
1351.807995,14.38,7.485,4.99,3.7925,2.528333,1.264167,0.69,0.345,0.232778,0.174583,0.141333,1
1351.807995,8.19,4.095,3.273333,2.9,2.461667,0.3569,0.284733,0.197583,0.160339,0.150729,0.129183,0
1384.392623,3.93,1.965,1.31,0.9825,0.655,0.3275,0.16375,0.081875,0.057361,0.043021,0.034417,1
1384.392623,0.9172,0.6448,0.575067,0.5597,0.4854,0.016667,0.008333,0.004167,0.002778,0.002083,0.001667,0
1454.459111,65.05,32.525,21.683333,16.2625,10.841667,5.420833,2.710417,1.355208,1.051528,1.146979,0.9555,1
1454.459111,8.19,4.095,3.273333,2.9,2.461667,1.789167,1.29625,0.891875,0.597361,0.448021,0.417583,0
1593.904721,65.05,32.525,21.683333,16.2625,10.841667,5.420833,2.710417,1.355208,1.051528,1.146979,0.9555,1
1593.904721,8.19,4.095,3.273333,2.9,2.461667,1.789167,1.29625,0.891875,0.597361,0.448021,0.417583,0
1638.905855,34.65,19.29,13.186667,9.89,6.593333,3.296667,1.648333,0.824167,0.549444,0.465521,0.372417,1
1638.905855,8.19,4.095,3.273333,2.9,2.461667,1.789167,1.29625,0.197583,0.160339,0.448021,0.129183,0
1663.579342,0,0,0,0,0,0,0.025,0.082292,0.054861,0.264688,0.466,1
1663.579342,?,?,?,?,?,?,0.008333,0.004167,0.002778,0.150729,0.417583,0
1727.272017,70.36,35.18,23.453333,17.59,11.726667,5.863333,2.931667,1.465833,1.119722,1.200208,0.99975,1
1727.272017,8.19,4.095,3.273333,2.9,2.461667,1.789167,1.29625,0.891875,0.597361,0.448021,0.417583,0
288.955554,22.82,11.41,7.606667,5.705,3.803333,1.901667,0.950833,0.516458,0.686944,0.525417,0.465083,1
288.955554,4.71,8.75,1.407531,1.299907,1.12179,0.747037,0.459228,0.267608,0.65625,0.218449,0.188392,0
299.331896,0,0,0,0.345,2.591667,4.108333,2.972083,1.486042,0.990694,0.753333,0.706833,1
299.331896,?,?,?,0.05,1.12179,3.509167,1.944167,0.972083,0.65625,0.640625,0.5125,0
477.892604,0,0,0.393333,0.395,2.69,4.108333,2.972083,1.486042,0.990694,0.753333,0.706833,1
477.892604,?,?,0.066667,0.05,1.12179,3.509167,1.944167,0.972083,0.65625,0.640625,0.5125,0
589.407048,20.66,10.33,6.886667,5.165,3.443333,1.721667,0.860833,0.430417,0.286944,0.215208,0.172167,1
589.407048,4.71,8.75,1.407531,1.299907,1.12179,0.747037,0.459228,0.267608,0.227006,0.002083,0.001667,0
589.407048,0.4,4.235,4.986667,4.82,6.773333,4.140833,2.922917,1.461458,0.974306,0.741042,0.697,1
589.407048,0.2,1.461296,1.407531,1.299907,6.135,3.509167,1.944167,0.972083,0.65625,0.640625,0.5125,0
