@relation FloodingsSP-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R2-3

@attribute distance numeric
@attribute mm_1h numeric
@attribute mm_2h numeric
@attribute mm_3h numeric
@attribute mm_4h numeric
@attribute mm_6h numeric
@attribute mm_12h numeric
@attribute mm_24h numeric
@attribute mm_48h numeric
@attribute mm_72h numeric
@attribute mm_96h numeric
@attribute mm_120h numeric
@attribute class {0,1}

@data
427.539768,5.462963,3.158704,2.278765,1.840741,1.312469,0.735031,1.585417,0.862708,0.577917,0.433437,0.703083,0
427.539768,29.83,14.915,9.943333,7.4575,4.971667,2.485833,1.242917,0.621458,0.414306,0.310729,0.417167,1
427.539768,23.05,14.77,9.846667,7.385,4.923333,2.461667,0.425216,0.245671,0.204336,0.191628,0.188651,0
429.07234,38.46,19.23,12.82,9.615,6.41,3.205,1.619167,0.809583,0.539722,0.404792,0.323833,1
429.07234,28.36,17.03,11.353333,8.515,6.066667,0.706962,0.394274,0.249886,0.200538,0.185185,0.17278,0
429.07234,31.67,16.03,10.686667,8.015,5.343333,2.671667,1.335833,0.741667,0.56,0.424167,0.339333,1
429.07234,28.36,2.603065,1.974946,1.617823,1.257581,0.706962,0.394274,0.249886,0.200538,0.185185,0.17278,0
429.07234,8.34,4.565,3.043333,2.2825,1.555,0.7775,0.987083,0.563125,0.402778,0.455938,0.371333,1
429.07234,3.974516,2.603065,1.974946,1.617823,1.257581,0.706962,0.394274,0.249886,0.200538,0.185185,0.17278,0
462.776587,8.25,4.32,2.88,2.16,1.44,0.72,0.475,0.806458,0.611389,0.9475,0.758,1
462.776587,2.56,2.75,0.857849,0.842742,0.746613,0.560699,0.399718,0.25627,0.213436,0.504062,0.665583,0
464.640472,22.84,11.42,7.613333,5.71,3.806667,1.903333,0.951667,0.475833,0.317222,0.237917,0.190333,1
464.640472,3.908667,2.730167,2.026,1.667083,1.291833,0.803417,0.449861,0.254729,0.218634,0.202174,0.001667,0
477.892604,0,0,0.393333,0.395,2.69,4.108333,2.972083,1.486042,0.990694,0.753333,0.706833,1
477.892604,?,?,0.066667,0.05,1.12179,3.509167,1.944167,0.972083,0.65625,0.640625,0.5125,0
480.696013,1.37,0.785,3.276667,3.685,5.97,3.836667,2.77125,1.385625,0.92375,0.707187,0.68075,1
480.696013,0.2,0.1,2.407089,1.952183,1.405704,0.805716,2.477083,0.338776,0.299667,0.287482,0.272505,0
480.832004,49.4,24.7,16.466667,12.35,8.233333,4.116667,4.0225,2.01125,1.483333,1.159896,1.046,1
480.832004,3.93,4.125,4.45,4.7125,4.615,3.5525,2.114167,1.082083,0.76125,0.645937,0.696167,0
485.815329,3.15,1.875,1.25,0.9375,0.625,0.3125,0.15625,0.747083,0.498056,0.391875,0.356167,1
485.815329,0.2,0.1,0.066667,0.05,0.033333,0.016667,0.008333,0.747083,0.221914,0.245052,0.227424,0
486.726976,1.59,1.285,0.856667,0.6425,0.428333,0.214167,0.12375,0.166042,0.224583,0.199583,0.159667,1
486.726976,0.2,0.1,0.066667,0.05,0.033333,0.016667,0.008333,0.004167,0.002778,0.00625,0.005,0
486.726976,9.04,8.065,8.196667,6.4425,4.328333,2.164167,1.861667,1.337292,0.897083,0.672813,0.53825,1
486.726976,2.082712,1.596695,6.163333,4.6225,3.213333,0.69404,0.43411,0.281208,0.231076,0.244223,0.213839,0
